bench,contender,config,n,axes,payload,ns_op,ns_elem,melem_s,bytes,allocs,passes,reps
entropy,std::sort_perm,e64/random,1000000,1,0,66937791.0,66.9378,14.94,0,0,0.0,3
entropy,radix_gather,e64/random,1000000,1,0,10280708.0,10.2807,97.27,0,0,8.0,5
entropy,radix_carry,e64/random,1000000,1,0,9247833.0,9.2478,108.13,0,0,8.0,6
entropy,radix_prehist,e64/random,1000000,1,0,9231791.0,9.2318,108.32,0,0,8.0,6
entropy,std::sort_perm,e32/random,1000000,1,0,67104292.0,67.1043,14.90,0,0,0.0,3
entropy,radix_gather,e32/random,1000000,1,0,5005292.0,5.0053,199.79,0,0,4.0,9
entropy,radix_carry,e32/random,1000000,1,0,4860959.0,4.8610,205.72,0,0,4.0,12
entropy,radix_prehist,e32/random,1000000,1,0,4806541.0,4.8065,208.05,0,0,4.0,12
entropy,std::sort_perm,e24/random,1000000,1,0,67645083.0,67.6451,14.78,0,0,0.0,3
entropy,radix_gather,e24/random,1000000,1,0,3698625.0,3.6986,270.37,0,0,3.0,12
entropy,radix_carry,e24/random,1000000,1,0,3793125.0,3.7931,263.63,0,0,3.0,15
entropy,radix_prehist,e24/random,1000000,1,0,3746250.0,3.7462,266.93,0,0,3.0,15
entropy,std::sort_perm,e8/random,1000000,1,0,31377583.0,31.3776,31.87,0,0,0.0,3
entropy,radix_gather,e8/random,1000000,1,0,1124250.0,1.1242,889.48,0,0,1.0,25
entropy,radix_carry,e8/random,1000000,1,0,1603500.0,1.6035,623.64,0,0,1.0,34
entropy,radix_prehist,e8/random,1000000,1,0,1617375.0,1.6174,618.29,0,0,1.0,35
entropy,std::sort_perm,eq/random,1000000,1,0,1164541.0,1.1645,858.71,0,0,0.0,46
entropy,radix_gather,eq/random,1000000,1,0,127750.0,0.1278,7827.79,0,0,0.0,53
entropy,radix_carry,eq/random,1000000,1,0,119375.0,0.1194,8376.96,0,0,0.0,416
entropy,radix_prehist,eq/random,1000000,1,0,120625.0,0.1206,8290.16,0,0,0.0,454
