bench,contender,config,n,axes,payload,ns_op,ns_elem,melem_s,bytes,allocs,passes,reps
lanes,std::sort_perm,1axis/row-major,1000000,1,0,77857208.0,77.8572,12.84,0,0,0.0,3
lanes,radix_gather,1axis/row-major,1000000,1,0,10768333.0,10.7683,92.86,0,0,8.0,4
lanes,radix_carry,1axis/row-major,1000000,1,0,9595208.0,9.5952,104.22,0,0,8.0,6
lanes,radix_prehist,1axis/row-major,1000000,1,0,9617084.0,9.6171,103.98,0,0,8.0,6
lanes,std::sort_perm,1axis/lane-major,1000000,1,0,66748208.0,66.7482,14.98,0,0,0.0,3
lanes,radix_gather,1axis/lane-major,1000000,1,0,10822459.0,10.8225,92.40,0,0,8.0,5
lanes,radix_carry,1axis/lane-major,1000000,1,0,9301750.0,9.3018,107.51,0,0,8.0,6
lanes,radix_prehist,1axis/lane-major,1000000,1,0,9266417.0,9.2664,107.92,0,0,8.0,6
lanes,std::sort_perm,2axis/row-major,1000000,2,0,91472334.0,91.4723,10.93,0,0,0.0,3
lanes,radix_gather,2axis/row-major,1000000,2,0,15201167.0,15.2012,65.78,0,0,9.0,3
lanes,radix_carry,2axis/row-major,1000000,2,0,12233292.0,12.2333,81.74,0,0,9.0,4
lanes,radix_prehist,2axis/row-major,1000000,2,0,13199917.0,13.1999,75.76,0,0,9.0,4
lanes,std::sort_perm,2axis/lane-major,1000000,2,0,87317375.0,87.3174,11.45,0,0,0.0,3
lanes,radix_gather,2axis/lane-major,1000000,2,0,12246875.0,12.2469,81.65,0,0,9.0,4
lanes,radix_carry,2axis/lane-major,1000000,2,0,11355584.0,11.3556,88.06,0,0,9.0,5
lanes,radix_prehist,2axis/lane-major,1000000,2,0,12012166.0,12.0122,83.25,0,0,9.0,4
lanes,std::sort_perm,4axis/row-major,1000000,4,0,108965958.0,108.9660,9.18,0,0,0.0,3
lanes,radix_gather,4axis/row-major,1000000,4,0,55625333.0,55.6253,17.98,0,0,11.0,3
lanes,radix_carry,4axis/row-major,1000000,4,0,24326750.0,24.3268,41.11,0,0,11.0,3
lanes,radix_prehist,4axis/row-major,1000000,4,0,29837625.0,29.8376,33.51,0,0,11.0,3
lanes,std::sort_perm,4axis/lane-major,1000000,4,0,130820375.0,130.8204,7.64,0,0,0.0,3
lanes,radix_gather,4axis/lane-major,1000000,4,0,22168000.0,22.1680,45.11,0,0,11.0,3
lanes,radix_carry,4axis/lane-major,1000000,4,0,17541250.0,17.5413,57.01,0,0,11.0,3
lanes,radix_prehist,4axis/lane-major,1000000,4,0,19739084.0,19.7391,50.66,0,0,11.0,3
lanes,std::sort_perm,8axis/row-major,1000000,8,0,119417333.0,119.4173,8.37,0,0,0.0,3
lanes,radix_gather,8axis/row-major,1000000,8,0,88241917.0,88.2419,11.33,0,0,15.0,3
lanes,radix_carry,8axis/row-major,1000000,8,0,50106333.0,50.1063,19.96,0,0,15.0,3
lanes,radix_prehist,8axis/row-major,1000000,8,0,72080667.0,72.0807,13.87,0,0,15.0,3
lanes,std::sort_perm,8axis/lane-major,1000000,8,0,125904584.0,125.9046,7.94,0,0,0.0,3
lanes,radix_gather,8axis/lane-major,1000000,8,0,30527958.0,30.5280,32.76,0,0,15.0,3
lanes,radix_carry,8axis/lane-major,1000000,8,0,27039250.0,27.0392,36.98,0,0,15.0,3
lanes,radix_prehist,8axis/lane-major,1000000,8,0,29909417.0,29.9094,33.43,0,0,15.0,3
