bench,contender,config,n,axes,payload,ns_op,ns_elem,melem_s,bytes,allocs,passes,reps
smalln,std::sort_direct,e64/random,8,1,0,6.3,0.7832,1276.81,0,0,0.0,1024000
smalln,bitonic_scalar,e64/random,8,1,0,24.7,3.0923,323.39,0,0,0.0,1024000
smalln,bitonic_neon,e64/random,8,1,0,11.3,1.4141,707.18,0,0,0.0,1024000
smalln,insertion_perm,e64/random,8,1,0,9.9,1.2410,805.82,0,0,0.0,1024000
smalln,std::sort_perm,e64/random,8,1,0,16.0,2.0039,499.03,0,0,0.0,1024000
smalln,radix_carry,e64/random,8,1,0,678.8,84.8489,11.79,0,0,0.0,82432
smalln,radix_carry_alloc,e64/random,8,1,0,959.4,119.9238,8.34,304,10,0.0,56320
smalln,std::sort_direct,e64/random,16,1,0,26.0,1.6276,614.42,0,0,0.0,1024000
smalln,bitonic_scalar,e64/random,16,1,0,92.4,5.7780,173.07,0,0,0.0,549888
smalln,bitonic_neon,e64/random,16,1,0,32.1,2.0090,497.75,0,0,0.0,1024000
smalln,insertion_perm,e64/random,16,1,0,42.9,2.6805,373.06,0,0,0.0,1024000
smalln,std::sort_perm,e64/random,16,1,0,61.4,3.8401,260.41,0,0,0.0,906752
smalln,radix_carry,e64/random,16,1,0,711.0,44.4387,22.50,0,0,0.0,76800
smalln,radix_carry_alloc,e64/random,16,1,0,995.4,62.2101,16.07,472,10,0.0,55808
smalln,std::sort_direct,e64/random,32,1,0,55.7,1.7395,574.88,0,0,0.0,918016
smalln,bitonic_scalar,e64/random,32,1,0,282.8,8.8374,113.16,0,0,0.0,183808
smalln,bitonic_neon,e64/random,32,1,0,84.2,2.6321,379.92,0,0,0.0,565760
smalln,insertion_perm,e64/random,32,1,0,154.1,4.8141,207.72,0,0,0.0,328192
smalln,std::sort_perm,e64/random,32,1,0,136.5,4.2648,234.48,0,0,0.0,370176
smalln,radix_carry,e64/random,32,1,0,805.7,25.1796,39.71,0,0,0.0,69120
smalln,radix_carry_alloc,e64/random,32,1,0,1099.5,34.3602,29.10,808,10,0.0,50176
smalln,std::sort_direct,e64/random,64,1,0,134.6,2.1031,475.48,0,0,0.0,320512
smalln,bitonic_scalar,e64/random,64,1,0,782.4,12.2248,81.80,0,0,0.0,71680
smalln,bitonic_neon,e64/random,64,1,0,226.5,3.5388,282.58,0,0,0.0,242176
smalln,insertion_perm,e64/random,64,1,0,611.1,9.5482,104.73,0,0,0.0,95232
smalln,std::sort_perm,e64/random,64,1,0,280.5,4.3831,228.15,0,0,0.0,171520
smalln,radix_carry,e64/random,64,1,0,996.7,15.5742,64.21,0,0,0.0,51200
smalln,radix_carry_alloc,e64/random,64,1,0,1321.0,20.6400,48.45,1480,10,0.0,42496
smalln,std::sort_direct,e64/random,128,1,0,321.8,2.5139,397.79,0,0,0.0,156160
smalln,bitonic_scalar,e64/random,128,1,0,2161.9,16.8896,59.21,0,0,0.0,25600
smalln,bitonic_neon,e64/random,128,1,0,557.7,4.3570,229.52,0,0,0.0,98304
smalln,insertion_perm,e64/random,128,1,0,2659.8,20.7799,48.12,0,0,0.0,21504
smalln,std::sort_perm,e64/random,128,1,0,690.8,5.3965,185.30,0,0,0.0,74240
smalln,radix_carry,e64/random,128,1,0,1437.8,11.2330,89.02,0,0,0.0,36864
smalln,radix_carry_alloc,e64/random,128,1,0,1785.5,13.9491,71.69,2824,10,0.0,31232
smalln,std::sort_direct,e64/random,256,1,0,845.9,3.3045,302.62,0,0,0.0,65024
smalln,bitonic_scalar,e64/random,256,1,0,5547.9,21.6716,46.14,0,0,0.0,9216
smalln,bitonic_neon,e64/random,256,1,0,1374.4,5.3689,186.26,0,0,0.0,44544
smalln,insertion_perm,e64/random,256,1,0,9375.2,36.6217,27.31,0,0,0.0,6144
smalln,std::sort_perm,e64/random,256,1,0,1753.0,6.8477,146.03,0,0,0.0,32256
smalln,radix_carry,e64/random,256,1,0,2135.2,8.3405,119.90,0,0,0.0,25088
smalln,radix_carry_alloc,e64/random,256,1,0,2471.8,9.6556,103.57,5512,10,0.0,20480
smalln,std::sort_direct,e64/random,512,1,0,2016.9,3.9392,253.86,0,0,0.0,26520
smalln,bitonic_scalar,e64/random,512,1,0,13590.3,26.5435,37.67,0,0,0.0,4290
smalln,bitonic_neon,e64/random,512,1,0,3477.1,6.7913,147.25,0,0,0.0,16770
smalln,insertion_perm,e64/random,512,1,0,38070.1,74.3556,13.45,0,0,0.0,1170
smalln,std::sort_perm,e64/random,512,1,0,4145.8,8.0973,123.50,0,0,0.0,13650
smalln,radix_carry,e64/random,512,1,0,3857.4,7.5339,132.73,0,0,0.0,14040
smalln,radix_carry_alloc,e64/random,512,1,0,4158.9,8.1228,123.11,10888,10,0.0,12870
