bench,contender,config,n,axes,payload,ns_op,ns_elem,melem_s,bytes,allocs,passes,reps
topk,radix_carry_full,k=all,10000000,1,0,92031917.0,9.2032,108.66,0,0,8.0,3
topk,std::sort_perm_full,k=all,10000000,1,0,946874417.0,94.6874,10.56,0,0,0.0,3
topk,std::partial_sort,k=1,10000000,1,0,10023666.0,1.0024,997.64,0,0,0.0,5
topk,radix_msd_topk,k=1,10000000,1,0,11570625.0,1.1571,864.26,0,0,0.0,3
topk,std::partial_sort,k=10,10000000,1,0,10120000.0,1.0120,988.14,0,0,0.0,5
topk,radix_msd_topk,k=10,10000000,1,0,11511209.0,1.1511,868.72,0,0,0.0,5
topk,std::partial_sort,k=100,10000000,1,0,10131584.0,1.0132,987.01,0,0,0.0,5
topk,radix_msd_topk,k=100,10000000,1,0,11608584.0,1.1609,861.43,0,0,0.0,5
topk,std::partial_sort,k=1000,10000000,1,0,10622000.0,1.0622,941.44,0,0,0.0,5
topk,radix_msd_topk,k=1000,10000000,1,0,11443542.0,1.1444,873.86,0,0,0.0,5
topk,std::partial_sort,k=10000,10000000,1,0,18023500.0,1.8023,554.83,0,0,0.0,3
topk,radix_msd_topk,k=10000,10000000,1,0,12173208.0,1.2173,821.48,0,0,0.0,4
